,role,location,url
128,"Campaign Management Lead, Business Operations",Chicago,https://www.lifeatspotify.com/jobs/campaign-management-lead-business-operations
129,"Senior Full Stack Engineer, Backstage",New York or Remote Americas,https://www.lifeatspotify.com/jobs/senior-full-stack-engineer-backstage
130,"Senior Product Manager, Personalization",London,https://www.lifeatspotify.com/jobs/senior-product-manager-personalization-3
131,"Designer II, Personalization Programming Platform",Amsterdam,https://www.lifeatspotify.com/jobs/designer-ii-personalization-programming-platform-3
132,"Designer II, Personalization Programming Platform",London,https://www.lifeatspotify.com/jobs/designer-ii-personalization-programming-platform-2
133,Partner Propositions Associate Director,London or Remote EMEA,https://www.lifeatspotify.com/jobs/partner-propositions-associate-director
134,"Category Development Officer, Retail",London,https://www.lifeatspotify.com/jobs/category-development-officer-retail
135,Artist Partnerships Lead (FC Barcelona),London or Remote EMEA,https://www.lifeatspotify.com/jobs/head-of-artist-partnerships-fc-barcelona
136,"Android Engineer, User Experience",New York or Remote Americas,https://www.lifeatspotify.com/jobs/android-engineer-user-experience
137,"iOS Engineer, User Experience",New York or Remote Americas,https://www.lifeatspotify.com/jobs/ios-engineer-user-experience
138,KPop Content Marketing Specialist,Seoul,https://www.lifeatspotify.com/jobs/kpop-content-marketing-specialist
139,"Manager, Accounts Payable",New York,https://www.lifeatspotify.com/jobs/manager-accounts-payable
140,"Senior Director of Engineering, Cloud Native Infrastructure",New York or Remote Americas,https://www.lifeatspotify.com/jobs/director-of-engineering-cloud-native-infrastructure
141,"SEO & Content Marketing Manager, Soundtrap",Stockholm or Remote EMEA,https://www.lifeatspotify.com/jobs/seo-content-marketing-manager-soundtrap
142,"Machine Learning Engineer, Personalization",New York,https://www.lifeatspotify.com/jobs/machine-learning-engineer-personalization
143,"Full Stack Developer, Backstage",New York or Remote EMEA,https://www.lifeatspotify.com/jobs/full-stack-developer-backstage
144,"Associate Manager, Global Content Strategy (EMEA)",London,https://www.lifeatspotify.com/jobs/associate-manager-global-content-strategy-emea
145,"Data Engineer, Advertising Technology",New York or Remote Americas,https://www.lifeatspotify.com/jobs/data-engineer-advertising-technology
146,"Data Scientist, Lifetime Value",Stockholm,https://www.lifeatspotify.com/jobs/data-scientist-lifetime-value
147,"Associate Manager, Product Marketing, Measurement",London or Remote EMEA,https://www.lifeatspotify.com/jobs/associate-product-marketing-manager-measurement
148,"Senior Data Scientist, Core Experience",New York or Remote Americas,https://www.lifeatspotify.com/jobs/senior-data-scientist-core-experience
149,Artist & Label Partnership Manager Telugu & Kannada,India (Home Mix),https://www.lifeatspotify.com/jobs/artist-label-partnership-manager-telugu-kannada
150,IT Technician,Boston,https://www.lifeatspotify.com/jobs/it-technician
151,Consumer Business Development Manager,New York,https://www.lifeatspotify.com/jobs/consumer-business-development-manager
152,"Backend Engineer, User Platform",Amsterdam or Remote EMEA,https://www.lifeatspotify.com/jobs/backend-engineer-user-platform-2
153,"Podcast Account Director, London",London,https://www.lifeatspotify.com/jobs/podcast-account-director-london
154,"Senior Machine Learning Engineer, Personalization",Boston,https://www.lifeatspotify.com/jobs/senior-machine-learning-engineer-personalization
155,"Account Manager, Advertising",Los Angeles,https://www.lifeatspotify.com/jobs/account-manager-advertising-3
156,"Operations Manager, Platform",Stockholm or Remote EMEA,https://www.lifeatspotify.com/jobs/operations-manager-platform
157,HRIS Analyst,India (Home Mix),https://www.lifeatspotify.com/jobs/hris-analyst-3
158,Senior Program Manager,Stockholm or Remote EMEA,https://www.lifeatspotify.com/jobs/senior-program-manager-2
159,"Senior Data Scientist, Platform Developer Experience",Stockholm or Remote EMEA,https://www.lifeatspotify.com/jobs/senior-data-scientist-platform-developer-experience-2
160,"Commercial Operations Associate, Spotify Studios",London,https://www.lifeatspotify.com/jobs/commercial-operations-associate-spotify-studios
161,Global Performance Marketing Manager,New York,https://www.lifeatspotify.com/jobs/global-performance-marketing-manager
162,"Senior Backend Engineer, Consumer Experience",Stockholm or Remote EMEA,https://www.lifeatspotify.com/jobs/senior-backend-engineer-consumer-experience
163,Marketing Manager,Mexico City,https://www.lifeatspotify.com/jobs/marketing-manager-mexico-city
164,"Senior Product Manager, Consumer Experience",New York,https://www.lifeatspotify.com/jobs/senior-product-manager-consumer-experience
165,"Group Product Manager, Enterprise Foundation",New York or Remote Americas,https://www.lifeatspotify.com/jobs/group-product-manager-enterprise-foundation
166,"Senior Front, End/Full Stack Engineer, Analytics Platform",New York or Remote Americas,https://www.lifeatspotify.com/jobs/senior-front-end-full-stack-engineer-analytics-platform
167,Premium Proposition Manager,London or Remote EMEA,https://www.lifeatspotify.com/jobs/premium-proposition-manager
168,"User Researcher, Podcast Publishers",New York or Remote Americas,https://www.lifeatspotify.com/jobs/user-researcher-podcast-publishers
169,"Senior Backend Engineer, Royalties and Reporting (Remote Eligible, EMEA)",London or Remote EMEA,https://www.lifeatspotify.com/jobs/senior-backend-engineer-royalties-and-reporting-remote-eligible-emea
170,Operations Generalist,New York,https://www.lifeatspotify.com/jobs/operations-generalist
171,"Manager, FP&A, Freemium",New York,https://www.lifeatspotify.com/jobs/manager-fpa-freemium
172,"Senior/Staff Product Designer, Performance Platform",New York or Remote Americas,https://www.lifeatspotify.com/jobs/senior-product-designer-performance-platform
173,"Research Scientist, Trust & Safety Research & Algorithmic Impact",United States of America (Home Mix),https://www.lifeatspotify.com/jobs/research-scientist-trust-safety-research-algorithmic-impact
174,"Senior Software Engineer (Backend), Financial Systems Integrations Platform",London or Remote EMEA,https://www.lifeatspotify.com/jobs/senior-backend-engineer-financial-systems-integrations
175,"Backend Engineer, Sales Engineering",New York or Remote Americas,https://www.lifeatspotify.com/jobs/backend-engineer-sales-engineering
176,"Senior Analyst, Treasury Operations & Risk",New York,https://www.lifeatspotify.com/jobs/senior-analyst-treasury-operations-risk
177,"Product Designer, Audiobooks & Gated Content",New York,https://www.lifeatspotify.com/jobs/product-designer-audiobooks-gated-content
178,"System Administrator, Legal & IA Systems",New York or Remote Americas,https://www.lifeatspotify.com/jobs/system-administrator-legal-ia-systems
179,"Product Manager, Core Experience",New York,https://www.lifeatspotify.com/jobs/product-manager-core-experience
180,Payments Partnerships Lead,London or Remote EMEA,https://www.lifeatspotify.com/jobs/payments-partnerships-lead
181,"Manager, Content Strategy & Business Development",New York,https://www.lifeatspotify.com/jobs/manager-content-strategy-business-development
182,"Strategy Manager, Finance Strategy Operations",New York,https://www.lifeatspotify.com/jobs/strategy-manager-finance-strategy-operations
183,"Data Storyteller, Communications",London,https://www.lifeatspotify.com/jobs/data-storyteller-communications
184,"Senior Product Designer, Talk",New York,https://www.lifeatspotify.com/jobs/senior-product-designer-talk
185,HRIS Analyst,Stockholm,https://www.lifeatspotify.com/jobs/hris-analyst
186,"Associate Director , Corporate Development",New York,https://www.lifeatspotify.com/jobs/associate-director-corporate-development
187,"Senior Backend Engineer, Composer",London,https://www.lifeatspotify.com/jobs/senior-backend-engineer-composer
188,"Senior Data Scientist, Platform Developer Experience",New York or Remote Americas,https://www.lifeatspotify.com/jobs/senior-data-scientist-platform-developer-experience
189,"Full Stack Engineer, Digital Workplace",Stockholm or Remote EMEA,https://www.lifeatspotify.com/jobs/full-stack-engineer-digital-workplace-2
190,"Senior Full Stack Engineer, Digital Workplace",Berlin or Remote EMEA,https://www.lifeatspotify.com/jobs/senior-full-stack-engineer-digital-workplace
191,"Full Stack Engineer, Digital Workplace",United Kingdom (Home Mix) or Remote EMEA,https://www.lifeatspotify.com/jobs/full-stack-engineer-digital-workplace
192,"Senior Product Manager, Database Infrastructure (Cache)",Stockholm or Remote EMEA,https://www.lifeatspotify.com/jobs/senior-product-manager-storage-infrastructure
193,"iOS Engineer, Spotify Live",New York or Remote Americas,https://www.lifeatspotify.com/jobs/ios-engineer-spotify-live
194,"Group Product Manager, Talk",New York,https://www.lifeatspotify.com/jobs/group-product-manager-talk
195,"Senior Product Manager, Content Intelligence",New York or Remote Americas,https://www.lifeatspotify.com/jobs/senior-product-manager-content-intelligence
196,"Fullstack Engineer, Audiobooks & Gated Content",Stockholm or Remote EMEA,https://www.lifeatspotify.com/jobs/fullstack-engineer-audiobooks-gated-content
197,"RPA, Senior Automation Developer",Stockholm,https://www.lifeatspotify.com/jobs/rpa-senior-automation-developer
198,"Senior Engineering Manager, Security",New York,https://www.lifeatspotify.com/jobs/senior-engineering-manager-spotify-security
199,"Manager, Corporate Development",New York,https://www.lifeatspotify.com/jobs/manager-corporate-development
200,"Senior Accountant, Content Accounting, Publishing",New York,https://www.lifeatspotify.com/jobs/senior-accountant-content-accounting
201,"Data Scientist, Growth Strategy",London or Remote EMEA,https://www.lifeatspotify.com/jobs/data-scientist-growth-strategy
202,Programmatic/Automation Lead (Contract),Singapore,https://www.lifeatspotify.com/jobs/automation-lead-japan-contract
203,"Android Engineer, Advertising",New York or Remote Americas,https://www.lifeatspotify.com/jobs/android-engineer-advertising-2
204,"Data Engineer, Platform",Stockholm or Remote EMEA,https://www.lifeatspotify.com/jobs/data-engineer-platform
205,"Staff Engineer, Platform Developer Experience",London or Remote EMEA,https://www.lifeatspotify.com/jobs/staff-engineer-platform-developer-experience
206,"Senior Product Designer, Core Experience, Trust & Safety",New York or Remote Americas,https://www.lifeatspotify.com/jobs/senior-product-designer-core-experience-trust-safety
207,"Senior Revenue Accountant, Music Ads",New York,https://www.lifeatspotify.com/jobs/senior-revenue-accountant
208,"Manager, Content Communications",Los Angeles,https://www.lifeatspotify.com/jobs/manager-content-communications
209,"Senior Product Designer, Music Promotion",New York or Remote Americas,https://www.lifeatspotify.com/jobs/senior-product-designer-music-promotion-2
210,"Senior Project Manager, Platform Consultancy",New York or Remote Americas,https://www.lifeatspotify.com/jobs/senior-project-manager-platform-consultancy
211,"Cloud Technology Category Manager, Tech Procurement",Amsterdam,https://www.lifeatspotify.com/jobs/cloud-technology-category-manager-tech-procurement
212,"Staff Typographer, Design Platform",London,https://www.lifeatspotify.com/jobs/staff-typographer-design-platform
213,"Technical Product Manager, Ad Serving",United States of America (Home Mix) or Remote Americas,https://www.lifeatspotify.com/jobs/technical-product-manager-ad-serving
214,"Campaign Manager, Amsterdam",Amsterdam,https://www.lifeatspotify.com/jobs/campaign-manager-amsterdam
215,"Engineering Manager, Platform Developer Experience",London or Remote EMEA,https://www.lifeatspotify.com/jobs/engineering-manager-platform-developer-experience
